 382 
0,27
1.1,27
2.1,27.000000013
3.1,27.000001647
4.1,27.000041933
5.2,27.0005127
6.3,27.003174832
7.4,27.012680285
8.5,27.037605104
9.6,27.090338347
10.7,27.185996147
11.8,27.340926444
12.9,27.571291751
14,27.891982479
15.1,28.315920401
16.2,28.853706503
17.2,29.448332654
18.2,30.148321055
19.2,30.95667484
20.2,31.875073166
21.2,32.904034952
22.2,34.043083333
23.2,35.290902808
24.2,36.64548447
25.2,38.104257061
26.2,39.664203174
27.2,41.321960884
28.2,43.07391167
29.2,44.916255799
30.2,46.845076444
31.2,48.856393817
32.2,50.946210522
33.2,53.110549213
34.2,55.34548354
35.2,57.647163181
36.2,60.011833695
37.2,62.435851745
38.2,64.915696183
39.2,67.447975392
40.2,70.029431212
41.2,72.656939728
42.2,75.327509199
43.2,78.038275406
44.2,80.786494703
45.2,83.569535162
46.2,86.384866232
47.2,89.230047455
48.2,92.102716863
49.2,95.000579745
50.2,97.921398469
51.2,100.86298402
52.2,103.823189705
53.2,106.799907313
54.2,109.791065734
55.2,112.794631809
56.2,115.80861301
57.2,118.831061414
58.2,121.860078437
59.2,124.893819824
60.2,127.930500471
61.2,130.96839879
62.2,134.005860408
63.2,137.041301089
64.2,140.073208859
65.3,143.402512395
66.4,146.723991412
67.5,150.035943454
68.6,153.336773167
69.7,156.62499011
70.8,159.899205776
71.9,163.158129954
73,166.400566546
74.1,169.625408952
75.2,172.831635122
76.3,176.018302365
77.4,179.184542002
78.5,182.329553941
79.6,185.452601234
80.7,188.553004691
81.8,191.630137593
82.9,194.683420552
84,197.712316556
85.1,200.716326228
86.2,203.694983319
87.3,206.647850442
88.4,209.574515068
89.5,212.474585771
90.6,215.347688732
91.7,218.193464485
92.8,221.011564902
93.9,223.80165041
95,226.563387425
96.1,229.296445989
97.2,232.000497618
98.3,234.675213336
99.4,237.3202619
100.5,239.935308213
101.6,242.520011926
102.7,245.074026224
103.8,247.596996817
104.9,250.088561123
106,252.548347673
107.1,254.975975731
108.2,257.371055152
109.3,259.733186485
110.4,262.061961336
111.5,264.356963002
112.6,266.617767388
113.7,268.843944211
114.8,271.03505851
115.9,273.190672454
117,275.310347461
118.1,277.393646606
119.2,279.440137341
120.3,281.449394479
121.4,283.421003454
122.5,285.354563813
123.6,287.24969292
124.7,289.106029839
125.8,290.923239335
126.9,292.701015975
128,294.439088252
129.1,296.13722269
130.2,297.795227857
131.3,299.412958242
132.4,300.99031792
133.5,302.527263941
134.6,304.023809393
135.7,305.480026082
136.8,306.896046761
137.9,308.272066888
139,309.608345857
140.1,310.90520768
141.2,312.163041107
142.3,313.382299167
143.4,314.563498138
144.5,315.707215956
145.6,316.814090093
146.7,317.884814926
147.8,318.920138645
148.9,319.920859741
150,320.887823146
151.1,321.821916051
152.2,322.724063502
153.3,323.5952238
154.4,324.436383795
